Domain ,IP add,AVG TTL,SD of TTL,Duration of Domain,Domian Activation,special char,Repitation,length,value
000.webhost.com,104.20.68.46,42795.2,44920.86629,5114,2232,2,3,15,1
010.com,218.38.30.94,1273.9,1347.510004,7669,378,1,1,7,1
055firenze.it,62.149.128.160,20637.9,244.8153272,2556,-16,1,2,13,1
05tz2e9.com,104.218.72.17,42717.1,45027.88563,3652,761,1,1,11,1
0calc.com,136.243.14.3,85961.8,90611.69327,4017,308,1,1,9,1
0day.in,91.195.240.126,43251.1,44433.04177,0,0,1,1,7,1
1-x-bet.com,190.121.210.133,42774.9,44946.09021,2556,794,3,1,11,1
1000-instrumentov.ru,213.189.197.32,51930.4,116586.5466,2922,0,2,3,20,1
1000.menu,78.46.210.82,2456.9,811.2195825,2192,1212,1,3,9,1
1000kitap.com,104.25.137.98,43111.1,45127.65106,2922,1156,1,3,13,1
1000ps.at,188.65.74.71,17358.8,35792.55838,0,0,1,3,9,1
1001salles.com,54.229.75.245,86068.1,90496.83768,8036,2321,1,2,14,1
10086.cn,117.136.190.162,2766,364.4838055,5844,0,1,2,8,1
100diet.net,136.243.137.17,2694.5,346.3983737,2191,378,1,2,11,1
101test.com,42.156.141.13,42830.8,45017.77915,2192,411,1,1,11,1
101xp.com,178.248.237.132,10418.6,10884.51673,5844,3329,1,1,9,1
104.com,119.75.225.160,81271.2,86751.49656,8035,419,1,1,7,1
1091.co.jp,210.172.218.28,85577.3,359.3373686,0,0,2,1,10,1
10bet.co.uk,107.154.213.108,17400,54602.19776,6940,1916,2,1,11,1
10bet.com,107.154.213.108,34680,72795.76911,6574,364,1,1,9,1
10betlive.com,216.146.46.11,28,59.02918299,1827,1182,1,1,13,1
1100ad.com,91.237.98.114,2781.2,357.3985637,4017,364,1,2,10,1
111.com.cn,139.224.21.106,42767.6,44957.59991,6575,0,2,3,10,1
1111.com.tw,202.153.190.10,1451.3,1551.373589,0,0,2,4,11,1
11185.cn,211.156.195.76,2586,267.6647987,0,0,1,3,8,1
111cn.net,183.61.16.66,42806.4,45076.90763,3652,1144,1,3,9,1
